cell,algorithm,n_success,acl_mean,acl_std,time_mean
ER_n20_d0.5_P6,minorminer,3,2.316666666666667,0.13123346456686347,0.0906
ER_n20_d0.5_P6,reweave-base,3,2.2666666666666666,0.06236095644623233,0.4849
ER_n20_d0.5_P6,reweave,3,2.2666666666666666,0.06236095644623233,0.108
ER_n30_d0.5_P6,minorminer,3,3.3555555555555556,0.10999438818457404,0.5188
ER_n30_d0.5_P6,reweave-base,3,3.3,0.12472191289246466,1.7082
ER_n30_d0.5_P6,reweave,3,3.2888888888888888,0.11331154474650633,0.6439
ER_n30_d0.7_P6,minorminer,3,3.911111111111111,0.24695678634325413,0.7767
ER_n30_d0.7_P6,reweave-base,3,3.888888888888889,0.24545246704860582,2.4503
ER_n30_d0.7_P6,reweave,3,3.8444444444444446,0.2199887763691483,0.908
ER_n40_d0.5_P6,minorminer,3,4.516666666666667,0.08249579113843046,1.0053
ER_n40_d0.5_P6,reweave-base,3,4.416666666666667,0.11785113019775792,3.4667
ER_n40_d0.5_P6,reweave,3,4.391666666666667,0.1006920497799547,1.323
ER_n40_d0.7_P6,minorminer,3,5.166666666666667,0.062360956446232456,1.0809
ER_n40_d0.7_P6,reweave-base,3,5.075,0.03535533905932704,5.173
ER_n40_d0.7_P6,reweave,3,4.966666666666667,0.06236095644623214,1.644
ER_n30_d0.5_P6brk,minorminer,3,3.477777777777778,0.08748897637790912,0.3319
ER_n30_d0.5_P6brk,reweave-base,3,3.4333333333333336,0.09428090415820642,1.5836
ER_n30_d0.5_P6brk,reweave,3,3.422222222222222,0.07856742013183854,0.4491
ER_n30_d0.5_Z4,minorminer,3,2.7444444444444445,0.08748897637790903,0.2651
ER_n30_d0.5_Z4,reweave-base,3,2.6888888888888887,0.07856742013183854,1.8814
ER_n30_d0.5_Z4,reweave,3,2.6888888888888887,0.07856742013183854,0.3827
