cell,algorithm,n_success,acl_mean,acl_std,time_mean
ER_n20_d0.5_P6,minorminer,3,2.316666666666667,0.13123346456686347,0.0875
ER_n20_d0.5_P6,pathfinder,3,2.2666666666666666,0.06236095644623233,0.508
ER_n20_d0.5_P6,pathfinder-fastdijkstra,3,2.2666666666666666,0.06236095644623233,0.1593
ER_n30_d0.5_P6,minorminer,3,3.3555555555555556,0.10999438818457404,0.5192
ER_n30_d0.5_P6,pathfinder,3,3.3,0.12472191289246466,1.677
ER_n30_d0.5_P6,pathfinder-fastdijkstra,3,3.3,0.12472191289246466,0.7299
ER_n30_d0.7_P6,minorminer,3,3.911111111111111,0.24695678634325413,0.77
ER_n30_d0.7_P6,pathfinder,3,3.888888888888889,0.24545246704860582,2.4106
ER_n30_d0.7_P6,pathfinder-fastdijkstra,3,3.888888888888889,0.24545246704860582,1.0782
ER_n40_d0.5_P6,minorminer,3,4.516666666666667,0.08249579113843046,0.9738
ER_n40_d0.5_P6,pathfinder,3,4.416666666666667,0.11785113019775792,3.4051
ER_n40_d0.5_P6,pathfinder-fastdijkstra,3,4.416666666666667,0.11785113019775792,1.4195
ER_n40_d0.7_P6,minorminer,3,5.166666666666667,0.062360956446232456,1.0933
ER_n40_d0.7_P6,pathfinder,3,5.075,0.03535533905932704,5.0907
ER_n40_d0.7_P6,pathfinder-fastdijkstra,3,5.075,0.03535533905932704,1.8081
ER_n30_d0.5_P6brk,minorminer,3,3.477777777777778,0.08748897637790912,0.3329
ER_n30_d0.5_P6brk,pathfinder,3,3.4333333333333336,0.09428090415820642,1.5947
ER_n30_d0.5_P6brk,pathfinder-fastdijkstra,3,3.4333333333333336,0.09428090415820642,0.5717
ER_n30_d0.5_Z4,minorminer,3,2.7444444444444445,0.08748897637790903,0.2695
ER_n30_d0.5_Z4,pathfinder,3,2.6888888888888887,0.07856742013183854,1.8859
ER_n30_d0.5_Z4,pathfinder-fastdijkstra,3,2.6888888888888887,0.07856742013183854,0.5247
